id	drugType	childChemblIds	parentId	linkedTargets.rows
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000105647
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000171608
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000141506
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000117461
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000145675
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000051382
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000105851
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000121879
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000105647
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000171608
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000141506
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000117461
CHEMBL524	Small molecule	CHEMBL1201103		ENSG00000120907
CHEMBL524	Small molecule	CHEMBL1201103		ENSG00000171873
CHEMBL524	Small molecule	CHEMBL1201103		ENSG00000170214
CHEMBL551043	Small molecule			
CHEMBL57531	Small molecule			
CHEMBL600084	Small molecule			
CHEMBL604608	Small molecule			
CHEMBL72006	Protein			
CHEMBL8260	Small molecule			
CHEMBL850	Small molecule			
CHEMBL852	Small molecule	CHEMBL1200863		
CHEMBL959	Small molecule	CHEMBL535396		
CHEMBL1089082	Small molecule			
CHEMBL1089141	Small molecule			
CHEMBL1090090	Small molecule			ENSG00000112062
CHEMBL1172887	Small molecule			
CHEMBL1182	Small molecule	CHEMBL3181853		
CHEMBL119592	Small molecule			
CHEMBL1200398	Small molecule		CHEMBL1295	
CHEMBL1200469	Small molecule		CHEMBL564	ENSG00000102468
CHEMBL1200469	Small molecule		CHEMBL564	ENSG00000149295
CHEMBL1200469	Small molecule		CHEMBL564	ENSG00000151577
CHEMBL1200469	Small molecule		CHEMBL564	ENSG00000069696
CHEMBL1200656	Small molecule			
CHEMBL1200879	Small molecule		CHEMBL1464	ENSG00000167397
CHEMBL1200887	Small molecule		CHEMBL1201256	
CHEMBL1201746	Small molecule			ENSG00000228716
CHEMBL1229971	Small molecule			
CHEMBL123154	Small molecule			
CHEMBL1232181	Small molecule			
CHEMBL1233249	Small molecule			
CHEMBL1240705	Small molecule			
CHEMBL139367	Small molecule	CHEMBL3989402		
CHEMBL142652	Small molecule			
CHEMBL1526042	Small molecule			
CHEMBL1585	Small molecule			
CHEMBL1631912	Small molecule			
CHEMBL1721885	Small molecule			ENSG00000122025
CHEMBL1721885	Small molecule			ENSG00000113721
CHEMBL1721885	Small molecule			ENSG00000134853
CHEMBL1721885	Small molecule			ENSG00000157404
CHEMBL1721885	Small molecule			ENSG00000102755
CHEMBL1721885	Small molecule			ENSG00000037280
CHEMBL1721885	Small molecule			ENSG00000128052
CHEMBL1761322	Small molecule			ENSG00000117594
CHEMBL176571	Small molecule			
CHEMBL1775039	Small molecule			
CHEMBL1834488	Small molecule			
CHEMBL188921	Small molecule	CHEMBL1715107		
CHEMBL195660	Small molecule			
CHEMBL197672	Small molecule			ENSG00000196954
CHEMBL197672	Small molecule			ENSG00000132906
CHEMBL197672	Small molecule			ENSG00000164305
CHEMBL197672	Small molecule			ENSG00000137757
CHEMBL197672	Small molecule			ENSG00000138794
CHEMBL197672	Small molecule			ENSG00000165806
CHEMBL197672	Small molecule			ENSG00000064012
CHEMBL197672	Small molecule			ENSG00000137752
CHEMBL197672	Small molecule			ENSG00000106144
CHEMBL197672	Small molecule			ENSG00000003400
CHEMBL197672	Small molecule			ENSG00000105141
CHEMBL197672	Small molecule			ENSG00000204403
CHEMBL2023898	Small molecule	CHEMBL2303621		
CHEMBL207881	Small molecule			
CHEMBL2103840	Small molecule			ENSG00000170312
CHEMBL2103840	Small molecule			ENSG00000136807
CHEMBL2103840	Small molecule			ENSG00000164885
CHEMBL2103840	Small molecule			ENSG00000123374
CHEMBL2104146	Small molecule		CHEMBL1788402	
CHEMBL2105036	Small molecule		CHEMBL2110615	
CHEMBL2108057	Antibody			
CHEMBL2108660	Antibody			ENSG00000119888
CHEMBL2108866	Oligosaccharide			
CHEMBL2108887	Antibody			ENSG00000232810
CHEMBL211312	Small molecule			
CHEMBL218382	Small molecule			
CHEMBL219568	Small molecule	CHEMBL1906087		
CHEMBL219568	Small molecule	CHEMBL2028459		
CHEMBL219568	Small molecule	CHEMBL141183		
CHEMBL2216778	Small molecule			
CHEMBL222021	Small molecule			
CHEMBL2252949	Small molecule			
CHEMBL229430	Small molecule			ENSG00000196689
CHEMBL230001	Small molecule			
CHEMBL25579	Small molecule			
CHEMBL3039521	Small molecule			ENSG00000110195
CHEMBL3092196	Small molecule	CHEMBL3092171		
CHEMBL3137693	Small molecule	CHEMBL3833324		
CHEMBL3233046	Small molecule			
CHEMBL3545047	Small molecule			ENSG00000131408
CHEMBL3545047	Small molecule			ENSG00000025434
CHEMBL3545102	Small molecule			ENSG00000102468
CHEMBL3545102	Small molecule			ENSG00000149295
CHEMBL3545185	Small molecule			ENSG00000082898
CHEMBL3545415	Protein			ENSG00000004948
CHEMBL356359	Small molecule	CHEMBL2106927		ENSG00000164270
CHEMBL360771	Small molecule			
CHEMBL3654293	Small molecule			
CHEMBL367700	Small molecule			
CHEMBL3707258	Small molecule			
CHEMBL3824089	Small molecule			
CHEMBL385587	Small molecule			
CHEMBL385711	Small molecule			
CHEMBL397920	Small molecule			
CHEMBL3989522	Small molecule		CHEMBL1200375	
CHEMBL401974	Small molecule			
CHEMBL4099635	Small molecule			
CHEMBL4127773	Small molecule			
CHEMBL4171770	Small molecule			
CHEMBL4203133	Small molecule			
CHEMBL4228250	Protein			
CHEMBL4248529	Small molecule			
CHEMBL4280766	Oligosaccharide			
CHEMBL4297774	Antibody			ENSG00000105976
CHEMBL4297774	Antibody			ENSG00000146648
CHEMBL4297880	Protein			ENSG00000196776
CHEMBL436784	Small molecule			
CHEMBL44246	Small molecule			
CHEMBL45068	Small molecule			
CHEMBL457047	Small molecule			
CHEMBL457992	Small molecule			
CHEMBL46148	Small molecule			
CHEMBL468	Small molecule			ENSG00000113851
CHEMBL468	Small molecule			ENSG00000167986
CHEMBL468	Small molecule			ENSG00000139842
CHEMBL468	Small molecule			ENSG00000100387
CHEMBL478718	Small molecule			
CHEMBL487067	Small molecule			
CHEMBL5095044	Small molecule			
CHEMBL5095184	Small molecule			
CHEMBL5095338	Unknown			
CHEMBL5095404	Small molecule	CHEMBL5095037		
CHEMBL565183	Small molecule			
CHEMBL578211	Small molecule	CHEMBL3989573		
CHEMBL579205	Small molecule	CHEMBL2042122		
CHEMBL593814	Small molecule			
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000101868
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000175482
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000077514
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000062822
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000106628
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000177084
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000014138
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000198056
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000146143
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000100479
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000148229
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000167325
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000048392
CHEMBL888	Small molecule	CHEMBL1637		ENSG00000171848
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000196639
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000103546
